,Result,Time(s)
p1,9307,0.005
p2,7993,0.004
p3,9993,0.005
p4,11993,0.004
p5,9220,0.005
p6,7906,0.004
p7,9906,0.005
p8,11906,0.004
p9,9040,0.005
p10,7726,0.004
p11,9726,0.006
p12,11726,0.004
p13,12032,0.007
p14,9180,0.007
p15,13180,0.008
p16,17180,0.009
p17,12032,0.009
p18,9180,0.009
p19,13180,0.008
p20,17180,0.009
p21,12032,0.009
p22,9180,0.008
p23,13180,0.008
p24,17180,0.008
p25,19248,0.054
p26,16182,0.054
p27,21582,0.055
p28,26982,0.054
p29,19224,0.054
p30,16158,0.072
p31,21558,0.053
p32,26958,0.056
p33,19055,0.054
p34,15989,0.054
p35,21389,0.055
p36,26789,0.056
p37,19055,0.052
p38,15989,0.053
p39,21389,0.054
p40,26789,0.055
p41,7103,0.009
p42,9957,0.015
p43,12448,0.018
p44,7222,0.009
p45,9848,0.016
p46,12639,0.018
p47,6490,0.009
p48,9044,0.015
p49,12420,0.018
p50,10060,0.011
p51,11396,0.019
p52,10764,0.012
p53,12834,0.022
p54,10143,0.011
p55,11938,0.022
p56,23882,0.087
p57,32882,0.083
p58,53882,0.081
p59,39121,0.084
p60,23882,0.081
p61,32882,0.082
p62,53882,0.082
p63,39121,0.083
p64,23882,0.082
p65,32882,0.082
p66,53882,0.084
p67,39671,0.085
p68,23882,0.082
p69,32882,0.08
p70,53882,0.081
p71,39121,0.082
