,Result,Time(s)
p1,8950,2.581
p2,8011,2.588
p3,9525,2.592
p4,11063,2.643
p5,9119,2.786
p6,7841,2.702
p7,9759,2.721
p8,11189,2.731
p9,8711,2.505
p10,7767,2.503
p11,9181,2.509
p12,10453,2.514
p13,9444,2.53
p14,8015,2.523
p15,9744,2.506
p16,11679,2.518
p17,9258,2.495
p18,7900,2.51
p19,10007,2.521
p20,11965,2.53
p21,8686,2.47
p22,7909,2.497
p23,9872,2.464
p24,11444,2.469
p25,15214,4.129
p26,14073,4.123
p27,16139,4.106
p28,18126,4.1
p29,15433,4.127
p30,13485,4.143
p31,16344,4.133
p32,19387,4.145
p33,14511,4.096
p34,12636,4.099
p35,15439,4.108
p36,17748,4.105
p37,13732,4.094
p38,13508,4.093
p39,15310,4.07
p40,17069,4.077
p41,6920,3.215
p42,6570,2.972
p43,6271,2.836
p44,7962,3.294
p45,7568,2.972
p46,7171,2.861
p47,7081,3.298
p48,6762,2.997
p49,6664,2.883
p50,9235,3.424
p51,8574,3.286
p52,9735,3.542
p53,10140,3.29
p54,9475,3.646
p55,8809,3.282
p56,29207,4.951
p57,36679,4.978
p58,48192,4.994
p59,38646,4.996
p60,29440,4.896
p61,33582,4.887
p62,43497,4.898
p63,35568,4.885
p64,29247,4.888
p65,33168,4.875
p66,42706,4.87
p67,34610,4.928
p68,28324,4.896
p69,34992,4.886
p70,43708,4.934
p71,35096,4.938
